"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
myoclonic_atonic_ongoing,seizure_description,,radio,"Myoclonic-atonic ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[myoclonic_atonic_seiz]=1,,RH,,,,
atonic_age_onset,seizure_description,"
Atonic specifications",text,"Age at first occurrence - Atonic",,"Please provide time unit below",number,,,,[atonic_seizures]=1,,,,,,
atonic_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Atonic</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[atonic_seizures]=1,,RH,,,,
atonic_ongoing,seizure_description,,radio,"Atonic ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[atonic_seizures]=1,,RH,,,,
absence_age_onset,seizure_description,"
Absence (typical) specifications",text,"Age at first occurrence - Absence (typical)",,"Please provide time unit below",number,,,,[absence_seizures]=1,,,,,,
absence_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Absence (typical)</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[absence_seizures]=1,,RH,,,,
absence_ongoing,seizure_description,,radio,"Absence (typical) ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[absence_seizures]=1,,RH,,,,
atypical_abs_age_onset,seizure_description,"
Atypical absence specifications",text,"Age at first occurrence - Atypical absence",,"Please provide time unit below",number,,,,[atypical_absence_seizures]=1,,,,,,
atypical_abs_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Atypical absence</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[atypical_absence_seizures]=1,,RH,,,,
atypical_abs_ongoing,seizure_description,,radio,"Atypical Absence ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[atypical_absence_seizures]=1,,RH,,,,
myoclonic_abs_age_onset,seizure_description,"
Myoclonic absence specifications",text,"Age at first occurrence - Myoclonic absence",,"Please provide time unit below",number,,,,[myoclonic_absence_seiz]=1,,,,,,
myoclonic_abs_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Myoclonic absence</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[myoclonic_absence_seiz]=1,,RH,,,,
myoclonic_abs_ongoing,seizure_description,,radio,"Myoclonic absence ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[myoclonic_absence_seiz]=1,,RH,,,,
eylid_myoclonia_age_onset,seizure_description,"
Eylid myoclonia specifications",text,"Age at first occurrence - Eylid myoclonia",,"Please provide time unit below",number,,,,[eylid_myoclonia_seiz]=1,,,,,,
eylid_myoclonia_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Eylid myoclonia</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[eylid_myoclonia_seiz]=1,,RH,,,,
eylid_myoclonia_ongoing,seizure_description,,radio,"Eylid myoclonia ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[eylid_myoclonia_seiz]=1,,RH,,,,
uk_onset_ton_clon_seiz,seizure_description,"
Unknown onset seizures",radio,"Unknown onset tonic-clonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/unknown-onset-groupoverview.html"" target=""_blank"">ILAE definition</a< /div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,uk_onset_seizures,,
uk_onset_behav_arr_seiz,seizure_description,,radio,"Unknown onset behavior arrest<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/unknown-onset-groupoverview.html"" target=""_blank"">ILAE definition</a< /div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,uk_onset_seizures,,
uk_on_ton_clon_age_onset,seizure_description,"
Unknown onset tonic-clonic specifications",text,"Age at first occurrence - Unknown onset tonic-clonic",,"Please provide time unit below",number,,,,[uk_onset_ton_clon_seiz]=1,,,,,,
uk_on_ton_clon_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Unknown onset tonic-clonic</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[uk_onset_ton_clon_seiz]=1,,RH,,,,
uk_on_ton_clon_ongoing,seizure_description,,radio,"Unknown onset tonic-clonic ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[uk_onset_ton_clon_seiz]=1,,RH,,,,
uk_on_behav_arr_age_onset,seizure_description,"
Unknown onset behavior arrest specifications",text,"Age at first occurrence - Unknown onset behavior arrest",,"Please provide time unit below",number,,,,[uk_onset_behav_arr_seiz]=1,,,,,,
uk_on_behav_arr_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Unknown onset behavior arrest</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[uk_onset_behav_arr_seiz]=1,,RH,,,,
uk_on_behav_arr_ongoing,seizure_description,,radio,"Unknown onset behavior arrest ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[uk_onset_behav_arr_seiz]=1,,RH,,,,
febrile_seizures,seizure_description,"
Other seizures",radio,"Febrile seizures<div class='note'> Seizure of any type <br> (or unknown type)  <br> provoked by fever<br /><br /><span style=""color: #ff0000"">Please specify below!</span></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,other_seizures,,
spasms_seizures,seizure_description,,radio,"Epileptic spasms <span style=""font-weight: normal;"">/ Infantile spasms</span><div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/epileptic-spasms-overview.html"" target=""_blank"">ILAE Definition</a><br /><br /><span style=""color: #ff0000"">Please specify below!</span>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,other_seizures,,
se_con_seizures,seizure_description,,radio,"Status Epilepticus: Convulsive<div class='note'>Convulsive seizure of sustained duration >5 minutes</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,other_seizures,,
se_non_seizures,seizure_description,,radio,"Status Epilepticus: Non-convulsive<div class='note'>Non-convulsive seizure (generalised or focal) of sustained duration >5 minutes</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,other_seizures,,
other_seizures,seizure_description,,radio,"Other seizure types, please specify","1, Yes | 2, No | 998, Unknown",,,,,,,,,,other_seizures,,
unclassified_seizures,seizure_description,,radio,"Unclassified seizures","1, Yes | 2, No | 998, Unknown",,,,,,,,,,other_seizures,,
febclassic_seizures,seizure_description,"
Febrile seizures specifications",dropdown,"Classic febrile seizures","1, Yes | 2, No | 998, Unknown","Self-limited convulsive seizures with fever occurring between the age of 6 months and 6 years with no known history of afebrile seizures.",,,,,[febrile_seizures]=1,,,,,,
febclassic_age_onset,seizure_description,,text,"Age at first occurrence - Classic febrile",,"Please provide time unit below",number,,,,[febclassic_seizures]=1,,,,,,"Classical febrile seizures"
febclassic_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Classic febrile</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[febclassic_seizures]=1,,RH,,,,
febnoclassic_age_onset,seizure_description,,text,"Age at first occurrence - Non-classic febrile",,"Please provide time unit below",number,,,,[febclassic_seizures]=2,,,,,,"Classical febrile seizures"
febnoclassic_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Non-classic febrile</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[febclassic_seizures]=2,,RH,,,,
febcomplex_seizures,seizure_description,,dropdown,"Were any of these seizures complex febrile seizures?","1, Yes | 2, No | 998, Unknown",,,,,,"[febclassic_seizures] = '1' or [febclassic_seizures] = '2'",,,,,,
febprov_seizures,seizure_description,,dropdown,"Other seizures provoked by fever","1, Yes | 2, No | 998, Unknown",,,,,,[febrile_seizures]=1,,,,,,
febprov_age_onset,seizure_description,,text,"Age at first occurrence of fever provoked seizures",,"Please provide time unit below",number,,,,[febprov_seizures]=1,,,,,,
febprov_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence of fever provoked seizures</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[febprov_seizures]=1,,RH,,,,
spasm_seizure_spec,seizure_description,"
Epileptic spasms <span style=""font-weight: normal;"">/ Infantile spasms </span>specifications",radio,"<div class=""rich-text-field-label""><p>Epileptic spasms <span style=""font-weight: normal;"">/ Infantile spasms </span>specification</p></div>","1, Focal | 2, Generalized | 998, Unknown",,,,,,[spasms_seizures]=1,,,,,,
spasms_age_onset,seizure_description,,text,"<p>Age first occurrence - Epileptic spasms <span style=""font-weight: normal;"">/ Infantile spasms</span></p>",,"Please provide time unit below",number,,,,[spasms_seizures]=1,,,,,,
spasms_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Epileptic spasms / Infantile spasms</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[spasms_seizures]=1,,RH,,,,
spasms_ongoing,seizure_description,,radio,"Epileptic spasms <span style=""font-weight: normal;"">/ Infantile spasms</span> ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[spasms_seizures]=1,,RH,,,,
se_con_age_onset,seizure_description,"
Status Epilepticus: convulsive specifications",text,"Age at first occurrence - Status Epilepticus: convulsive",,"Please provide time unit below",number,,,,[se_con_seizures]=1,,,,,,
se_con_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Status Epilepticus: convulsive</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[se_con_seizures]=1,,RH,,,,
se_con_ongoing,seizure_description,,radio,"Status Epilepticus: convulsive ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[se_con_seizures]=1,,RH,,,,
se_non_age_onset,seizure_description,"
Status Epilepticus: Non-convulsive specifications",text,"Age at first occurrence - Status Epilepticus: Non-convulsive",,"Please provide time unit below",number,,,,[se_non_seizures]=1,,,,,,
se_non_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Status Epilepticus: Non-convulsive</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[se_non_seizures]=1,,RH,,,,
se_non_ongoing,seizure_description,,radio,"Status Epilepticus: Non-convulsive ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[se_non_seizures]=1,,RH,,,,
other_seizures_specify,seizure_description,"
Other seizures descriptions",notes,"Other seizure types specification",,,,,,,[other_seizures]=1,,,,,,
other_age_onset,seizure_description,,text,"Age at first occurrence - Other seizures",,"Please provide time unit below",number,,,,[other_seizures]=1,,,,,,
other_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Other seizures</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[other_seizures]=1,,RH,,,,
other_ongoing,seizure_description,,radio,"Other seizure types ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[other_seizures]=1,,RH,,,,
unclassified_age_onset,seizure_description,"
Unclassified seizures description",text,"Age at first occurrence - Unclassified",,,number,,,,[unclassified_seizures]=1,,,,,,
unclassified_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Unclassified</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[unclassified_seizures]=1,,RH,,,,
unclassified_ongoing,seizure_description,,radio,"Unclassified seizure types ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[unclassified_seizures]=1,,RH,,,,
onset_general,seizure_description,"
Seizures in general",text,"Age of onset in general

<div class='note'><span style=""color: #ff0000"">Note: Please only include febrile seizure as type of first seizure when the diagnosis of epilepsy directly followed the febrile seizure.</span></div>",,"Please provide time unit below",number,,,,,,,,,,
onset_general_time_unit,seizure_description,,radio,"Time unit<div class='note'>for age of onset in general</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,,,RH,,,,
general_onset_period,seizure_description,,radio,"Age of onset in general - time period

<div class='note'><span style=""color: #ff0000"">Note: Please only include febrile seizure as type of first seizure when the diagnosis of epilepsy directly followed the febrile seizure.</span></div>","1, Neonatal (0-4 weeks) | 2, Infantile (1y) | 3, Early childhood (1-3y) | 4, Childhood (4-10y) | 5, Adolescence (11y-20y) | 6, Adulthood (>21y) | 998, Unknown",,,,,,,,,,,,
first_seizure_type,seizure_description,,dropdown,"Type of first seizure (ever)

<div class='note'><span style=""color: #ff0000"">Note: Please only select febrile seizure as type of first seizure when the diagnosis of epilepsy directly followed the febrile seizure.</span></div>","1, Focal aware | 2, Focal impaired awareness | 3, Focal to bilateral tonic-clonic | 4, Focal bilateral clonic | 5, Focal hemiclonic seizure | 6, Focal atonic | 7, Focal other seizure (as described above) | 8, Generalized tonic-clonic | 9, Clonic | 10, Tonic | 11, Myoclonic | 12, Myoclonic-tonic-clonic | 13, Myoclonic-atonic | 14, Atonic | 15, Absence (typical) | 16, Atypical absence | 17, Myocloic absence | 18, Eylid myoclonia | 19, Unknown onset tonic-clonic | 20, Unknown onset behavior arrest | 21, Febrile seizure | 22, Epileptic spasm | 23, Status Epilepticus: Convulsive | 24, Status Epilepticus: Non-convulsive | 25, Psychogenic non-epileptic seizure | 997, Other seizure (as described above) | 26, Unclassified | 998, Unknown",,,,,,,,,,,,
general_ongoing,seizure_description,,radio,"Ongoing in general<div class='note'>Is any kind of seizure ongoing
(excluding classic febrile seizures)</div>","1, Yes | 2, No | 3, Unknown","(""No"" = Patient is seizure free)",,,,,,,RH,,,,
vaccination,seizure_description,,radio,"Seizure onset in association with vaccination","1, Yes | 2, No | 3, Unknown",,,,,,,,RH,,,,
vaccination_spec,seizure_description,,checkbox,Vaccination,"1, DTP (diphterie/ tetanus/ pertussis) | 2, 5-fold (DTP + polio + haemophilus inf. b) | 3, 6-fold (5-fold + hepatitis b) | 4, MMR (measles/ mumps/ rubella) | 5, VMMR (MMR + chickenpox) | 996, Other, please specify! | 998, Unknown",,,,,,"[vaccination] = '1'",,,,,,
vaccination_other,seizure_description,,text,"Vaccination other",,,,,,,"[vaccination_spec(996)] = '1'",,,,,,
seizure_descript_note,seizure_description,,notes,Note,,,,,,,,,,,,,
seizure_data_ent,seizure_description,,text,"Date of last data entry<div class='note'>Seizure Description</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
developm_delay,comorbidities,"
Comorbidities",radio,"Developmental delay","1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,,
regression,comorbidities,,radio,Regression/plateau,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,,
intellect_disab,comorbidities,,radio,"Intellectual Disability","1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,,
autism,comorbidities,,radio,"Autism spectrum disorder","1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,,
psychosis,comorbidities,,radio,Psychosis,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,,
pnes,comorbidities,,radio,"Psychogenic non-epileptic seizures (PNES)","1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,,
further_comorb,comorbidities,,radio,"Further comorbidities <div class='note'>Please specify below</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,,
cognition_disorder,comorbidities,,radio,"Cognition disorder","1, Yes | 2, No | 998, Unknown",,,,,,"[further_comorb] = '1'",,,,comorbidities,,
add,comorbidities,,radio,"Attention deficit disorder","1, Yes | 2, No | 998, Unknown",,,,,,"[further_comorb] = '1'",,,,comorbidities,,
social_emo_disorder,comorbidities,,radio,"Disorders of social and emotional development","1, Yes | 2, No | 998, Unknown",,,,,,"[further_comorb] = '1'",,,,comorbidities,,
affective_disorder,comorbidities,,radio,"Affective disorder","1, Yes | 2, No | 998, Unknown",,,,,,"[further_comorb] = '1'",,,,comorbidities,,
neurocog_disorder,comorbidities,,radio,"Neurocognitive disorders (Epitrack)","1, Yes | 2, No | 998, Unknown",,,,,,"[further_comorb] = '1'",,,,comorbidities,,
sleep_disorder,comorbidities,,radio,"Sleep disorder","1, Yes | 2, No | 998, Unknown",,,,,,"[further_comorb] = '1'",,,,comorbidities,,
somatization_disorder,comorbidities,,radio,"Somatization disorder","1, Yes | 2, No | 998, Unknown",,,,,,"[further_comorb] = '1'",,,,comorbidities,,
developm_delay_type,comorbidities,,radio,"Type of delay","1, Motor | 2, Speech and Language | 4, Global | 998, Unknown",,,,,,"[developm_delay] = '1'",,,,,,
motor_delay,comorbidities,,checkbox,"Motor delay","1, Gross motor skills | 2, Fine motor skills | 998, Unknown",,,,,,"[developm_delay_type] = '1' or [developm_delay_type] = '4'",,,,,,
speech_language_delay,comorbidities,,checkbox,"Speech and language delay","1, Expressive | 2, Rezeptive | 3, Aphasic | 998, Unknown",,,,,,"[developm_delay_type] = '2' or [developm_delay_type] = '4'",,,,,,
developm_delay_severity,comorbidities,,radio,"Severity of delay","1, Mild | 2, Moderate | 3, Severe | 4, Profound | 5, Cannot classify | 998, Unknown",,,,,,"[developm_delay] = '1'",,,,,,
developm_delay_note,comorbidities,,notes,"Delay notes <div class='note'>Developmental milestones and other information, e.g. parental observations</div>",,,,,,,"[developm_delay] = '1'",,,,,,
developm_delay_prior,comorbidities,,radio,"Developmental delay prior to seizure onset","1, Yes | 2, No | 998, Unknown",,,,,,"[developm_delay] = '1'",,,,,,
regression_age,comorbidities,,text,"Age at regression in months if known",,,,,,,[regression]=1,,,,,,
intellect_disabil_degr,comorbidities,,dropdown,"Degree of intellectual disability","1, Mild | 2, Moderate | 3, Severe | 4, Profound | 5, Cannot classify | 998, Unknown",,,,,,"[intellect_disab] = '1'",,,,,,
autism_type,comorbidities,,checkbox,"Autism spectrum disorder type","1, Early child autism | 2, Atypical autistic disorder | 3, Profound developmental disorder | 4, Asperger's Syndrome | 998, Unknown",,,,,,"[autism] = '1'",,,,,,
cognition_disorder_type,comorbidities,,checkbox,"Cognition disorder type","1, Learning disorder | 2, Partial performance disorder (dyslexia / spelling / dyscalculia) | 998, Unknown",,,,,,"[cognition_disorder] = '1'",,,,,,
add_type,comorbidities,,checkbox,"Attention deficit disorder type","1, Inattentive | 2, Hyperactive | 3, Impulsive | 4, Aggressive | 5, Obsessive | 998, Unknown",,,,,,"[add] = '1'",,,,,,
affective_disorder_type,comorbidities,,checkbox,"Affective disorder type","1, Depressive disorder | 2, Anxiety disorder | 998, Unknown",,,,,,"[affective_disorder] = '1'",,,,,,
neurocog_disorder_type,comorbidities,,checkbox,"Neurocognitive disorders (Epitrack) type","1, Response inhibition | 2, Visuo-motor speed | 3, Mental flexibility | 4, Visuo-motor anticipation | 5, Rapid lexical access | 6, Working memory | 998, Unknown",,,,,,"[neurocog_disorder] = '1'",,,,,,
behaviour,comorbidities,,checkbox,Behavior,"1, Normal | 2, Autistic features | 3, Aggressive | 4, Obsessive | 5, Hyperactive | 6, Neurocognitive deficits ( attention / speed / memory) | 7, Dysthymia | 8, Challenging behavior | 996, Other, please specify! | 998, Unknown",,,,,,,,,,,,
behaviour_other,comorbidities,,notes,"Behavior other",,,,,,,"[behaviour(996)] = '1'",,,,,,
comorbidities_note,comorbidities,,notes,Note,,,,,,,,,,,,,
comorbidities_data_ent,comorbidities,,text,"Date of last data entry<div class='note'>Comorbidities</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
neurological_examination,neurological_examination,"Neurological examination",dropdown,"Neurological examination","1, Normal |2, Abnormal please specify |3, Not done | 998, Unknown",,,,,,,,,,,,
neurol_exam_find,neurological_examination,,checkbox,"Neurological examination findings","1, Spastic tetraparesis | 2, Spastic paraparesis | 3, Hemiparesis, please specify! | 4, Muscular hypotonia | 5, Ataxia | 6, Psychomotoric slowing | 990, Other, please specify!",,,,,,"[neurological_examination] = '2'",,,,,,
hemiparesis_type,neurological_examination,,radio,"Hemiparesis type","1, spastic | 2, flaccid | 998, unknown",,,,,,"[neurol_exam_find(3)] = '1'",,,,,,
hemiparesis_side,neurological_examination,,radio,"Hemiparesis side","1, left | 2, right | 998, unknown",,,,,,"[neurol_exam_find(3)] = '1'",,,,,,
neurological_specify,neurological_examination,,notes,"Neurological examination findings other",,,,,,,"[neurol_exam_find(990)] = '1'",,,,,,
neuro_exam_age,neurological_examination,,text,"Age at neurological examination",,"Please provide time unit below",number,,,,"[neurological_examination] = '1' or [neurological_examination] = '2'",,,,,,
neurol_exam_age_unit,neurological_examination,,radio,"Time unit<div class='note'>for age at neurological examination</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,"[neurological_examination] = '1' or [neurological_examination] = '2'",,RH,,,,
head_size,neurological_examination,,dropdown,"Head size","1, Normal|2,Large| 4, Small|998, Unknown",,,,,,,,,,,,
head_circum_at_age,neurological_examination,,text,"<div class=""rich-text-field-label""><p>Head circumference <span style=""background-color: #ced4d9;"">at specific age</span> (cm) if known</p></div>",,,,,,,,,,,,,
head_circum_age,neurological_examination,,text,"Age at measurement<div class='note'>for head circumference at specific age</div>",,"Please provide time unit below!",,,,,,,,,,,
head_circum_age_unit,neurological_examination,,radio,"Time unit<div class='note'>for head circumference at specific age</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age at measurement is 3 weeks; or age at measurement is 6 months ect.",,,,,,,RH,,,,
tone,neurological_examination,,dropdown,Tone,"1, Hypotonic|4, Hypertonic| 2, Normal|998, Unknown",,,,,,,,,,,,
dysmorphic,neurological_examination,,dropdown,Dysmorphic,"1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,,
dysmorphic_comment,neurological_examination,,notes,"Dysmorphic features comments",,,,,,,[dysmorphic]=1,,,,,,
neurocutan_disord,neurological_examination,,dropdown,"Neurocutaneous disorders","1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,,
neurocutan_disord_com,neurological_examination,,notes,"Neurocutaneous disorders comments",,,,,,,"[neurocutan_disord] = '1'",,,,,,
malformations,neurological_examination,,dropdown,Malformations,"1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,,
malformations_comment,neurological_examination,,notes,"Malformations comments",,,,,,,"[malformations] = '1'",,,,,,
neuro_exam_note,neurological_examination,,notes,Note,,,,,,,,,,,,,
neurol_exam_data_ent,neurological_examination,,text,"Date of last data entry<div class='note'>Neurological Examination</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
eeg_findings_1,eeg,EEG,dropdown,"EEG finding 1","1, Normal | 31, Burst suppression | 32, Classic hypsarrhythmia | 34, Hemihypsarrhythmia | 33, Hypsarrhythmia variant | 11, Generalized spike and wave, specify frequency | 12, Generalized polyspike and wave, specify frequency | 17, Slow-spike-waves (generalized 1,5 - 2,5Hz) | 13, Generalized paroxysmal fast activity (GPFA) | 14, Continuous Spike and Wave in slow-wave Sleep (CSWS) | 18, Generalized epileptiform unspecified | 3, Focal or multi-focal epileptiform, specify location | 2, Epileptiform unspecified | 4, Focal slowing, specify location | 5, Generalized slowing | 9, Photo-paroxysmal response | 996, Other, please specify | 998, Unknown | 989, Not done","Where multiple findings exist, please enter in chronological order. ",,,,,,y,,,,,
eeg_findings_1_gsw,eeg,,dropdown,"GSW frequency 1","3, < 1,5Hz | 4, = 3Hz | 5, = 3,5Hz | 6, = 4Hz | 7, > 4Hz | 2, < 3Hz | 1, > or = 3Hz | 998, Unknown",,,,,,"[eeg_findings_1] = '11' or [eeg_findings_1] = '12'",y,,,,,
eeg_findings_1_epicom,eeg,,notes,"Other epileptiform finding 1 comments",,,,,,,"[eeg_findings_1] = 996",y,,,,,
eeg_findings_1_focal,eeg,,checkbox,"Location of focal epileptiform 1","2, Temporal | 3, Frontal | 4, Occipital | 5, <span title=""Including central"">Parietal</span> | 6, Multi-focal | 997, Unspecified | 998, Unknown","If localization is near the anatomical boundary of two lobes or could reflect one of two sites (e.g. F7, 'fronto-temporal') then both lobes should be selected. If there are two or more independent foci, then select 'multifocal' and the relevant lobes.",,,,,"[eeg_findings_1] = '3' or [eeg_findings_1] = '4'",y,,,,,
eeg_findings_ppr_1,eeg,,dropdown,"Type of photoparoxysmal response 1","1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,"[eeg_findings_1] = '9'",y,,,,,
eeg_age_1,eeg,,text,"Age at EEG recording 1",,"Please provide time unit below",number,,,,"[eeg_findings_1] >= 1 and [eeg_findings_1] < 989 or [eeg_findings_1] = 996",,,,,,
eeg_age_unit_1,eeg,,radio,"Time unit<div class='note'>for age at EEG recording 1</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,"[eeg_findings_1] >= 1 and [eeg_findings_1] < 989 or [eeg_findings_1] = 996",,RH,,,,
eeg_findings_2,eeg,,dropdown,"EEG finding 2","1, Normal | 31, Burst suppression | 32, Classic hypsarrhythmia | 34, Hemihypsarrhythmia | 33, Hypsarrhythmia variant | 11, Generalized spike and wave, specify frequency | 12, Generalized polyspike and wave, specify frequency | 17, Slow-spike-waves (generalized 1,5 - 2,5Hz) | 13, Generalized paroxysmal fast activity (GPFA) | 14, Continuous Spike and Wave in slow-wave Sleep (CSWS) | 18, Generalized epileptiform unspecified | 3, Focal or multi-focal epileptiform, specify location | 2, Epileptiform unspecified | 4, Focal slowing, specify location | 5, Generalized slowing | 9, Photo-paroxysmal response | 996, Other, please specify | 998, Unknown | 989, Not done",,,,,,"[eeg_findings_1] >= 1 and [eeg_findings_1] < 989 or [eeg_findings_1] = 996",,,,,,
eeg_findings_2_gsw,eeg,,dropdown,"GSW frequency 2","3, < 1,5Hz | 4, = 3Hz | 5, = 3,5Hz | 6, = 4Hz | 7, > 4Hz | 2, < 3Hz | 1, > or = 3Hz | 998, Unknown",,,,,,"[eeg_findings_2] = '11' or [eeg_findings_2] = '12'",y,,,,,
eeg_findings_2_epicom,eeg,,notes,"Other epileptiform finding 2 comments",,,,,,,"[eeg_findings_2] = 996",y,,,,,
eeg_findings_2_focal,eeg,,checkbox,"Location of focal epileptiform 2","2, Temporal | 3, Frontal | 4, Occipital | 5, <span title=""Including central"">Parietal</span> | 6, Multi-focal | 997, Unspecified | 998, Unknown","If localization is near the anatomical boundary of two lobes or could reflect one of two sites (e.g. F7, 'fronto-temporal') then both lobes should be selected. If there are two or more independent foci, then select 'multifocal' and the relevant lobes.",,,,,"[eeg_findings_2] = '3' or [eeg_findings_2] = '4'",y,,,,,
eeg_findings_ppr_2,eeg,,dropdown,"Type of photoparoxysmal response 2","1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,"[eeg_findings_2] = '9'",y,,,,,
eeg_age_2,eeg,,text,"Age at EEG recording 2",,"Please provide time unit below",number,,,,"[eeg_findings_2] >= 1 and [eeg_findings_2] < 989 or [eeg_findings_2] = 996",,,,,,
